time	geo	champ	r	rb
2015-01-01	IT	mdhfi	0.0406851015804502	0.04609918682036414
2015-01-01	IT	mdhi	0.05818806753327952	0.07389526884587982
2015-01-01	IT	mdhifi	0.048741720659053675	0.06217363309166981
2015-01-01	IT	mdhim	0.05895638653483371	0.07176193630346182
2015-01-01	IT	mdhimfi	0.03945662892713574	0.050329818824199284
2015-01-01	IT	tb	0.04561158573264493	0.051216639983888174
2015-01-01	ES	md	0.06397615478316564	0.07044813555366149
2015-01-01	ES	mdhfi	0.06393107747932615	0.06950788526187661
2015-01-01	ES	mdhi	0.07350820104319951	0.08517764992424645
2015-01-01	ES	mdhifi	0.07372756872923873	0.08392475109713016
2015-01-01	ES	mdhim	0.0726505132096207	0.08258986866227595
2015-01-01	ES	mdhimfi	0.0625034507136871	0.07114823714209428
2015-01-01	ES	tb	0.059816185560952466	0.06522370492318484
2015-01-01	NL	md	0.06203377604851136	0.07374147920198768
2015-01-01	NL	mdhfi	0.04735352971397306	0.05588319026529925
2015-01-01	NL	mdhi	0.14065486517998174	0.16812648616038106
2015-01-01	NL	mdhifi	0.11004361393852792	0.13080651163098633
2015-01-01	NL	mdhim	0.11294934800506554	0.13347745359563587
2015-01-01	NL	mdhimfi	0.08089739351359458	0.0961610171351125
2015-01-01	NL	tb	0.051128003029425696	0.06032847263672857
2015-01-01	BE	md	0.03449246314353028	0.04650346953540336
2015-01-01	BE	mdhfi	0.030923223434006757	0.040062480114447
2015-01-01	BE	mdhi	0.048087421388805306	0.07355162425138186
2015-01-01	BE	mdhifi	0.04115518252949248	0.06120817432125654
2015-01-01	BE	mdhim	0.051348953507599285	0.0740347458069001
2015-01-01	BE	mdhimfi	0.03640200319145265	0.054138993439979945
2015-01-01	BE	tb	0.03609137506733414	0.046876184989801915
2014-01-01	DE	md	0.04713012965177317	0.05549163394278623
2014-01-01	DE	mdhfi	0.04577034708712731	0.05327034614746621
2014-01-01	DE	mdhi	0.08477686329744924	0.10715388676658072
2014-01-01	DE	mdhifi	0.08296324701843567	0.10368356734540844
2014-01-01	DE	mdhim	0.0814339806881126	0.0982959252992846
2014-01-01	DE	mdhimfi	0.06173072901018726	0.07714816414052153
2014-01-01	DE	tb	0.049669157811436236	0.05681422801252606
2014-01-01	FR	md	0.03130428551953256	0.04002598340467883
2014-01-01	FR	mdhfi	0.03159988761851998	0.03830517285599534
2014-01-01	FR	mdhi	0.038031006309236184	0.0723341849370096
2014-01-01	FR	mdhifi	0.0396393874836898	0.06716630701583266
2014-01-01	FR	mdhim	0.03305632380222535	0.05222650554348696
2014-01-01	FR	mdhimfi	0.021593128207498553	0.036588120318807746
2014-01-01	FR	tb	0.0343176406130972	0.04183930250379764
2014-01-01	IT	md	0.04355095874708556	0.05033073882719502
2014-01-01	IT	mdhfi	0.038453043424307276	0.044217721778165305
2014-01-01	IT	mdhi	0.057864533321517864	0.07425478178539698
2014-01-01	IT	mdhifi	0.04581485682237002	0.06006772849404502
2014-01-01	IT	mdhim	0.05760629607184619	0.07094642199046387
2014-01-01	IT	mdhimfi	0.0370220250571052	0.048539471771176596
2014-01-01	IT	tb	0.044174755844444955	0.05003379189851211
2014-01-01	ES	md	0.062400788305226954	0.06806342625964158
